latitude,longitude,name
50.890541,4.336561,HOUBA-BRUGMANN
50.792197,4.419611,INTERNAT.SCHOOL
50.867166,4.405886,EVERESHOPPING
50.794104,4.418493,VIJVERSBOSVOORDE
50.824183,4.385896,DELPORTE
50.821675,4.388989,ETTERBEEKSTATION
50.862596,4.38094,AZALEA
50.817854,4.392422,THYS
50.858317,4.384603,WELDOENERS
50.809616,4.403442,KEYM
50.802583,4.412501,DRIELINDEN
50.860641,4.403679,PAULLEDUC
50.802617,4.418772,KERSEBOOMGAARD
50.798643,4.419774,WIENER
50.801545,4.422132,VALKERIJ
50.815966,4.390704,BEGR.VANELSENE
50.80539,4.406772,VANDERELST
50.817709,4.395984,FRAITEUR
50.812046,4.392405,PLEISTERPLAATS
50.809849,4.443453,ADEPS
50.827537,4.381838,RODIN
50.813899,4.384459,ULB
50.810899,4.411502,MEIKEVERS
50.82369,4.373961,VIJVERSELSENE
50.867563,4.40134,STATIONEVERE
50.810914,4.418795,TRITOMA
50.81282,4.417406,VISSERIJ
50.826188,4.28619,VIVES-PARK
50.856889,4.413007,MOMMAERTS
50.915207,4.421094,VIERFONTEINEN
50.823802,4.310464,VAARTDIJK
50.85609,4.289959,BEGRAAFPLAATSEN
50.86025,4.288191,MARICOLLEN
50.829214,4.281586,NEERPEDE
50.815971,4.407505,BEAULIEU
50.857622,4.398493,LEOPOLDIII
50.815284,4.383736,JOHANNA
50.859086,4.401334,FRANSCOURTENS
50.863333,4.286893,BROEK
50.811452,4.439695,ROODKLOOSTER
50.821865,4.363586,WASHINGTON
50.799553,4.358567,STERRENWACHT
50.816111,4.416345,RODENBERG
50.886506,4.341609,STUYVENBERGH
50.867465,4.33608,BELGICA
50.865946,4.338822,VANDERSTICHELEN
50.810288,4.30516,MOZART
50.809808,4.345455,MESSIDOR
50.854515,4.414539,CARINA
50.876747,4.412529,DAVINCI
50.84845,4.428619,MOONENS
50.791229,4.368303,ALPHONSEXIII
50.829469,4.28583,VANHELLEMONT
50.794599,4.356511,LANCASTER
50.852396,4.409495,KOLONELBOURG
50.794752,4.352568,THEVENET
50.807578,4.344131,BOETENDAEL
50.860181,4.30688,VANZANDE
50.818961,4.35134,DARWIN
50.813705,4.307014,BOLLINCKX
50.86767,4.293704,ALCYONS
50.816699,4.307634,INTERNATIONAAL
50.873514,4.295044,EILANDENHOUT
50.866659,4.287128,AZUUR
50.86716,4.275414,GROOT-BIJGAARDEN
50.850347,4.427968,HEILIGEFAMILIE
50.824206,4.331127,BERTHELOT
50.869363,4.310688,BEECKMANS
50.876065,4.307245,NEUBERGER
50.874641,4.299873,CHOPIN
50.891014,4.325347,PATTIJN
50.812147,4.352676,CHURCHILL
50.836827,4.434906,BRONNENPARK
